DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2015,25.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2016,25.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2017,25.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2018,25.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2019,26.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FI,2020,26.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2011,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2012,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2013,30.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2014,29.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2015,29.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2016,29.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2017,28.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2018,28.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2019,29.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,FR,2020,29.3,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2011,31.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2012,30.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2013,30.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2014,30.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2015,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2016,29.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2017,29.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2018,29.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2019,29.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HR,2020,28.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2011,26.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2012,27.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2013,28.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2014,28.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2015,28.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2016,28.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2017,28.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2018,28.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2019,28.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,HU,2020,28.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2011,29.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2012,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2013,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2014,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2015,29.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2016,29.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2017,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2018,28.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2019,28.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IE,2020,28.3,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2011,23.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2012,24.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2013,24.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2014,22.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2015,24.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2016,24.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2017,25.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IS,2018,23.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2011,32.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2012,32.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2013,32.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2014,32.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2015,32.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2016,33.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2017,32.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2018,33.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2019,32.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,IT,2020,32.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2011,33.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2012,32.0,
